FILE, MaxCUSize, MaxPartitionDepth, QuadtreeTUMaxDepthIntra, QuadtreeTUMaxDepthInter
ALI_RQT_A , 32 , 1 , 4 , 4
ALI_RQT_B , 32 , 1 , 3 , 3
ALI_RQT_C , 32 , 1 , 2 , 2
ALI_RQT_D , 32 , 1 , 1 , 1
ALI_RQT_E , 32 , 2 , 4 , 4
ALI_RQT_F , 32 , 2 , 3 , 3
ALI_RQT_G , 32 , 2 , 2 , 2
ALI_RQT_H , 32 , 2 , 1 , 1
ALI_RQT_I , 32 , 3 , 4 , 4
ALI_RQT_J , 32 , 3 , 3 , 3
ALI_RQT_K , 32 , 3 , 2 , 2
ALI_RQT_L , 32 , 3 , 1 , 1
ALI_RQT_M , 64 , 1 , 4 , 4
ALI_RQT_N , 64 , 1 , 3 , 3
ALI_RQT_O , 64 , 1 , 2 , 2
ALI_RQT_P , 64 , 1 , 1 , 1
ALI_RQT_Q , 64 , 2 , 4 , 4
ALI_RQT_R , 64 , 2 , 3 , 3
ALI_RQT_S , 64 , 2 , 2 , 2
ALI_RQT_T , 64 , 2 , 1 , 1
ALI_RQT_U , 64 , 3 , 4 , 4
ALI_RQT_V , 64 , 3 , 3 , 3
ALI_RQT_W , 64 , 3 , 2 , 2
ALI_RQT_X , 64 , 3 , 1 , 1
